name,phone_numbers,email,websites,yearEstablished,acceptsVolunteers,facebookLink,twitterLink,linkedinLink,instagramLink,logo,address_line1,address_line2,address_line3,address_city,address_stateOrRegion,address_zipOrPostcode,address_country,address_countryCode,latitude,longitude,facilityTypeId,operatorTypeId,affiliationTypeIds,description,area,numberDoctors,capacity,procedure,equipment,capability,specialties,source_doc
COA Research & Manufacturing,['+233244726611'],info@coarmlc.com,['coarmlc.com'],,,,,,,,"Wusorkrom, Yamoransah-Fosu Road",,,Cape Coast,Ghana,,,,,,,,,,,,,[],[],"['Located on Wusorkrom, Yamoransah-Fosu Road, Cape Coast, Ghana'
 'GPS: CA-1071-5688'
 'Postal address: P.O. Box, DL 1203, Cape Coast, Ghana'
 'Phone: +233 24 472 6611' 'Email: info@coarmlc.com'
 'Website: coarmlc.com']",,CSV Seed
"Comboni Hospital, Sogakofe",[],info@combonicentreonlus.org,[],,,,,,,,"P.O. BOX SK 95 - SOGAKOFE ( V/r) Sogakope, Ghana",,,Sogakope,Ghana,,,,,,,,,,,,,[],[],"['Address: P.O. BOX SK 95 - SOGAKOFE (V/r) Sogakope, Ghana'
 'Location: Sogakope, Ghana'
 'Open 24/7 (Always open) as indicated by the page'
 'Website: http://www.combonicentreonlus.org/'
 'Email: info@combonicentreonlus.org'
 'Facebook page type: Hospital (unofficial page)']",,CSV Seed
Community 22 Polyclinic,['+233264160947'],c22polyclinic@gmail.com,[],,,,,,,,,,,Tema,Ghana,,,,,,,,,"A new ultra-modern GHS Polyclinic mainly serving residents of Ashaiman and Tema. The facility has an operating theatre, laboratory, maternity ward, Out Patient Department, Ultrasound Scan, Paediatric wards, Eye, ENT, CWC, Family Planning Services",,,,[],"['Has operating theatre' 'Has an on-site laboratory'
 'Has a maternity ward' 'Operates Outpatient Department (OPD)'
 'Provides ultrasound scanning' 'Has paediatric wards'
 'Has Eye department / Eye clinic' 'Has ENT department'
 'Offers Family Planning Services' 'Offers CWC services'
 'No dental unit currently']","['Located in Tema, Ghana' 'Serves residents of Ashaiman and Tema'
 'Always open'
 'Eye clinics operate Monday to Friday from 8:00am to 3:00pm'
 'New ultra-modern GHS Polyclinic']",,CSV Seed
Community Dental Practice,['+233303320421'],,['commdentalgh.com'],,,,,,,,Tema Community 25,,,Tema,Ghana,,,,,,,,,"Our clients are our priority and our goal is to improve clients' health,appearance & confidence.",,,,[],[],"['Operates as a dentist and dental office'
 'Located at Tema Community 25, Accra, Ghana'
 ""Situated near the District Police Station or adjacent Henry's on Google Maps""
 'Phone number: +233 30 332 0421' 'Website: commdentalgh.com']",,CSV Seed
Core Care Diagnostic Centre,['+233506531118'],corecare1055@gmail.com,['corecaregh.com'],,,,,,,,,,,Accra,Ghana,,,,,,,,,Core Care Diagnostic Centre ( Labs - Scans - E.C.G ) Home Nursing - Health Screening - Health Education,,,,"['Offers ECG testing' 'Provides laboratory testing'
 'Provides diagnostic imaging scans' 'Conducts health screening tests']",[],"['Offers home nursing services' 'Provides health screening services'
 'Provides health education services' 'Based in Accra, Ghana'
 'Contact number: +233 50 653 1118' 'Email: corecare1055@gmail.com'
 'Website: corecaregh.com']",,CSV Seed
Cosmopolitan Medical Centre,['+233302905802'],cmc@cosmopolitanmhi.com,['cosmopolitanmhi.com'],,,,,,,,Dzorwulu,,,Accra,Ghana,,,,,,,,,"We are a health center that offers comprehensive medical care to the general public, which includes but not limited to surgeries, maternity, pharmacy and optical care. Our range of services are provided by highly trained and professional staff.",,,,['Offers surgeries'],[],"['Provides comprehensive medical care including surgeries, maternity, pharmacy and optical care'
 'Located in Dzorwulu, Accra, Ghana'
 'Located near Fiesta Royale Hotel on the route to Gimpa'
 'Has highly trained and professional staff' 'Always open']",,CSV Seed
Craddle Care Maternity Hospital Trust,['+233302813014'],,['craddlecare.com'],,,,,,,,58 Boundary Road,,,Accra,Ghana,,,,,,,,,Solutions for women by a woman to provide evidence based care to improve the high maternal mortality,,,,[],[],"['Located at 58 Boundary Road, behind Barclays Bank Spintex Road, Accra, Ghana'
 'Phone number: +233 30 281 3014' 'Website: craddlecare.com'
 'Mission statement: Solutions for women by a woman to provide evidence based care to improve the high maternal mortality']",,CSV Seed
Crown Medical Centre Ghana,"['[""+233209841697""]']",crownmedgh@gmail.com,['crownmedicalcentre.com'],,,,,,,,No 103 Hallelujah Broadway,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Offers dental services' 'No 103 Hallelujah Broadway, Accra, Ghana'
 'Located at Hallelujah Broadway, Adenta West'
 'Phone number +233 20 984 1697' 'Email crownmedgh@gmail.com'
 'Website crownmedicalcentre.com' 'Always open'
 'Curbside pickup available']",,CSV Seed
Crystal Eye Clinic,[],info@crystaleyeclinic.com,['crystaleyeclinic.com'],,,,,,,,No. 5 Ginger Close,,,Accra,Ghana,,,,,,,,,"Our Vision: To be a world class eye-care provider. Our Mission: To provide affordable quality eye-care in an accessible, safe and friendly environment. Services include Frames & Lenses, Yag Laser Capsulotomy, Eye Surgery, Refraction, Cornea Transplant, and Visual Field Test.",,,,"['YAG laser capsulotomy' 'Eye surgery' 'Refraction' 'Cornea transplant'
 'Visual field test' 'OCT imaging (Optical Coherence Tomography)']",['OCT imaging equipment (Optical Coherence Tomography)' 'YAG laser system'],"['Mission: To provide affordable quality eye-care in an accessible, safe and friendly environment'
 'Vision: To be a world class eye-care provider'
 'Office hours: Monday–Friday 8:30am–2pm; Saturday 9am–12pm; Sunday Closed'
 'Address: No. 5 Ginger Close, Housing Down, Adenta, Accra'
 'Email: info@crystaleyeclinic.com'
 'Phone numbers: Consulting Room 0302514722, Reception 0302514723, Administration 0362196624'
 'Booking available via Book an Appointment page']",,CSV Seed
Crystal Eye Clinic Ghana,['+233302514722'],info@crystaleyeclinic.com,['crystaleyeclinic.com'],2003.0,,,,,,,,,,Accra,Ghana,,,,,,,,,"Founded in 2003 by Dr. James and Dr. Mrs. Edith Clarke; located in Accra, Ghana.",,,,[],[],"['Crystal Eye Clinic Ghana was founded in 2003 by Dr. James and Dr. Mrs. Edith Clarke'
 'Located in Accra, Ghana' 'Phone number +233 30 251 4722'
 'Email info@crystaleyeclinic.com' 'Website crystaleyeclinic.com']",,CSV Seed
Cura Healthcare Services,['+233502929665'],,[],2020.0,,,,,,,"Accra, Greater Accra 00233",,,Accra,Greater Accra,,,,,,,,,"A leading provider of quality, reliable and convenient ultrasound scans. Delivering diagnostic imaging you can trust.",,,,"['Ultrasound imaging (scans) is provided' 'ECHOcardiography is provided'
 'ECG is provided' 'Medical laboratory tests are provided']","['Ultrasound imaging equipment' 'ECG machine'
 'General medical laboratory equipment for diagnostic testing']","['Founded in 2020' 'Headquartered in Accra, Greater Accra, Ghana'
 'Self-owned company' 'Primary location: Accra, Greater Accra 00233, GH'
 'Has 2-10 employees' 'Offers mobile/home diagnostic services'
 'Offers doctor consultations']",,CSV Seed
Daffiama Health Centre,[],,[],,,,,,,,,,,Daffiama,Ghana,,,,,,,,,,,,,[],[],"['Listed as a hospital on Facebook.'
 'Page is labeled as an unofficial page for Daffiama Health Centre.'
 'Located in Daffiama, Ghana.' 'Open 24 hours.'
 'Facebook page for Daffiama Health Centre was created on April 22, 2019.'
 'Has 3 likes on the page.' 'Has 3 followers on the page.'
 'Has 18 check-ins on the page.']",,CSV Seed
Dakopon Specialist Hospital,['+233244537705'],,[],,,,,,,,Tikrom,,,Tikrom,Ghana,,,,,,,,,"Dakopon Specialist Hospital is a hospital referenced as such in a social media post, with services including general medicine, general surgery, women's health, obstetrics and gynecology (OBGYN), family planning, child health, child welfare clinic, laboratory and ultrasound, and home care service.",,,,"['Offers general medicine services' 'Offers general surgery services'
 ""Offers women's health services""
 'Offers obstetrics and gynecology (OBGYN) services'
 'Offers family planning' 'Offers child health services'
 'Operates a child welfare clinic'
 'Provides laboratory and ultrasound diagnostic services']",[],"['Open 24 hours a day' 'Located in Tikrom, Ashanti Region, Ghana'
 'Phone number +233 24 453 7705' 'Facebook page created on May 30, 2019'
 '0 people follow this page' '2 people checked in here'
 'Provides home care services']",,CSV Seed
Daksa Dental Clinic,['+233261406060'],info@daksadentalclinic.com,['daksadentalclinic.com'],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,The best dental clinic among the rest.we deal with all kinds of dental issue,,,,[],[],"['Daksa Dental Clinic is located in Kumasi, Ghana'
 'Phone number +233 26 140 6060' 'Email info@daksadentalclinic.com'
 'Website https://www.daksadentalclinic.com/' 'Current status: Closed now'
 ""Intro describes the clinic as 'The best dental clinic among the rest.we deal with all kinds of dental issue'""]",,CSV Seed
Dande Natural Herbal Clinic,['+233241085731'],dandenaturalherbalcenter@gmail.com,[],,,,,,,,,,,Techiman,Ghana,,,,,,,,,"Everything about Dande Natural Herbal Center is Health Care. No matter the condition, your problems will be solved within no time. Dande Natural Herbal Center, we diagnose with a machine and treat you one time.",,,,[],[],"['Dande Natural Herbal Clinic provides health care services.'
 'Diagnoses with a machine.' 'Based in Techiman, Kenten, Techiman, Ghana.'
 'Phone number +233 24 108 5731.'
 'Email address dandenaturalherbalcenter@gmail.com.']",,CSV Seed
Dangme WEST Hospital Complex,['+233244726065'],,['dwhcghana.com'],,,,,,,,Post Office Box DD 188,,,Dodowa,Ghana,,,,,,,,,We do general hospital services to all KINDS OF SICKNESS/DISEASES and LAB TEST.,,,,"['Offers general hospital services to all kinds of sicknesses and diseases.'
 'Provides laboratory testing.']",[],"['Based in Dodowa, Ghana.' 'Post Office Box DD 188, Dodowa, Ghana.'
 'Phone number +233 24 472 6065.' 'Website dwhcghana.com.'
 'Has a Facebook page at facebook.com/dangmeWestHospital.'
 ""Facebook page shows 'Always open' status.""]",,CSV Seed
DANK Natural Healthcare Complex,['+233244017556'],,['dankherbal.org'],,,,,,,,"Pakyi Number 2, Kumasi Near City Life Hybrid School",,,Kumasi,Ghana,,,,,,,,,Dank Natural Healthcare Complex is a certified herbal center and clinic approved by Min of health,,,,[],[],"['Certified herbal center and clinic approved by Ministry of Health'
 'Located at Pakyi Number 2, Kumasi, Ghana (near City Life Hybrid School)'
 'Phone number: +233 24 401 7556' 'WhatsApp contact: 0266593330'
 'Call today: 0244017556' 'In-store collection available'
 'Advertises regular checkups']",,CSV Seed
Dar-Bem Clinic,['+233302306841'],,[],,,,,,,,Ashaiman,,,Ashaiman,Greater Accra,,,,,,,,,"Dar-Bem Clinic at Ashaiman near Tema has vacancies including Administrator, Medical Officer (Full Time), Medical/Physician Assistant (Full Time), Sonographer (Full Time). Visiting Specialists include Ophthalmologist, Gynaecologist, ENT Specialist. Applicants should send CVs to the premises opposite Ghana Commercial Bank Ashaiman Branch or call the clinic on 0302-306841.",,,,[],[],"['Dar-Bem Clinic is located in Accra'
 'The clinic is located in Ashaiman near Tema, opposite the Ghana Commercial Bank Ashaiman Branch'
 'Phone number for the clinic is 0302-306841'
 'Vacancies listed include Administrator, Medical Officer (Full Time), Medical/Physician Assistant (Full Time), and Sonographer (Full Time)'
 'Visiting Specialists include Ophthalmologist, Gynaecologists, and ENT Specialist'
 'Applicants should send their CVs directly to the clinic premises'
 'Category for the job posting is Public Health']",,CSV Seed
Dare Labs,['+233552835188'],,[],,,,,,,,,,,Kumasi,Ghana,,,,,,,,,Medical Lab,,,,[],[],"['Dare Labs is a medical laboratory located in Kumasi, Ghana.'
 'Phone number: +233 55 283 5188.'
 'Has 208 likes and 220 followers on its Facebook page.'
 'Is currently closed.']",,CSV Seed
Datmac Laboratory Services,['+233244364645'],,[],,,,,,,,"SIGMA Square Building, Boundary Road.",,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Datmac Laboratory Services is a medical laboratory.'
 'Datmac Laboratory Services is located at SIGMA Square Building, Boundary Road, Accra, Ghana.'
 'Datmac Laboratory Services can be reached at +233 24 436 4645.'
 'Datmac Laboratory Services has a Facebook page with 81 likes and 81 followers.']",,CSV Seed
DEL Dental and Implant Clinic,[],deldentclinic@gmail.com,['del-dental-implant-clinic.business.site'],,,,,,,,"Meridian House, Ring Road Central",,,Accra,Greater Accra,,,,,,,,,At DEL Dental and Implant Clinic your overall Oral Health is our primary concern. Visit us today.,,,,[],[],"['Organization name: DEL Dental and Implant Clinic'
 'Common name: DELdental clinic'
 'Location: Meridian House, Ring Road Central, Accra, Ghana'
 'Email: deldentclinic@gmail.com'
 'Facebook category: Dentist and dental surgery'
 'Also referenced as an implant clinic in the organization name']",,CSV Seed
DEL International Hospital,[],info.delhospital@gmail.com,[],,,,,,,,65/67 Nii Sai Street,,,Accra,Greater Accra Region,,,,,,,,,"We are an ultra-modern hospital providing varying in-patient and out-patient services to the Accra Metropolis in Greater Accra Region, Ghana and even beyond. Located opposite the PH Hotel, East Legon.",,,,"['Offers intrauterine insemination (IUI) procedures'
 'Provides general surgery services']","['On-site radiology department offering X-ray and fluoroscopy imaging'
 'On-site laboratory facilities for diagnostic testing']","['24/7 emergency department with ambulance rapid response'
 'Offers online consultations' 'On-site 24-hour pharmacy'
 'Laboratory services operate from 8:00 AM to 8:00 PM'
 'Located opposite PH Hotel, East Legon, Accra'
 'Serves the Accra Metropolis in the Greater Accra Region, Ghana'
 'Fertility Center with IUI procedures'
 'Medical specialists including Dr. Anabel Ankrah, Dr. Babra Swanzy Asare, Dr. Kwesi Tandoh, Dr. Oduro Boateng, Dr. Sarpong Dankwa, Dr. Afarigah Joycelyn, Dr. Cap Ebonyi, and Dr. Christopher Atakora']",,CSV Seed
"Dental Service - Dzorwulu, 1st Osu Badu Street, Accra, Ghana",['+233553159568'],josephpitchler1@gmail.com,[],,,,,,,,Dzorwulu,,,Accra,Ghana,,,,,,,,,,,,,[],[],"['Located at Dzorwulu, 1st Osu Badu Street, Accra, Ghana' 'Always open'
 'Phone: +233 55 315 9568' 'Email: josephpitchler1@gmail.com'
 'Specialty: General Dentist']",,CSV Seed
DerArt Dental Clinic,['+233542512572'],derrickarthur2020@yahoo.com,['derartdentalclinic.xyz'],,,,,,,,"Edwinase Road, Close Kwadaso Municipal assembly",,,Kumasi,Ghana,,,,,,,,,,,,,[],[],"['Located at Edwinase Road, Close Kwadaso Municipal Assembly, Kumasi, Ghana'
 'Phone number is +233 54 251 2572'
 'Email address is derrickarthur2020@yahoo.com'
 'Website is derartdentalclinic.xyz'
 'Facebook category is Dentist & Dental Office']",,CSV Seed
De Santi Dental Clinic,['+233205965264'],santoman001@gmail.com,[],,,,,,,,Tseaddo watermelon junction,,,Accra,Ghana,,,,,,,,,Creating beautiful smile and providing best oral care,,,,['Offers general dental care and cosmetic dentistry'],[],"['Located at Tseaddo watermelon junction, Accra, Ghana'
 'Phone number: +233 20 596 5264' 'Email: santoman001@gmail.com'
 'Intro: Creating beautiful smile and providing best oral care']",,CSV Seed
Deseret Hospital Accra Ghana,"['+18016781998' '+18016343336' '+233205276289' '+233244379534'
 '+233244408775']","[""deseret.gh.foundation@gmail.com"",""info.aaronn@gmail.com""]",[],1979.0,,,,,,,,,,Accra,Ghana,,,,,,,,,Not Limited To: Dental; Maternal & Child Healthcare; General Surgery; General Out Patient; Diabetic Clinic; Family Planning; Laboratory; Physiotherapy; National Health Insurance Services. Serving Ghana Since 1979.,,,,"['Offers dental services'
 'Provides maternal and child healthcare services'
 'Performs general surgical procedures'
 'Provides general outpatient services'
 'Provides diabetic clinic services' 'Offers family planning'
 'Provides laboratory services' 'Provides physiotherapy services'
 'Offers National Health Insurance Services']",[],"['Has served Ghana since 1979'
 'Vision: To become the best healthcare service provider in West Africa and beyond'
 'Mission: To provide quality accessible healthcare for all patients irrespective of race, color, creed, tribe, tradition or gender'
 'Offers National Health Insurance Services' 'Has 5 contact phone numbers'
 'Has 2 contact email addresses' 'Based in Accra, Ghana']",,CSV Seed
Destiny Hospital,['+233551991676'],destinyhospitalz@gmail.com,[],,,,,,,,"CPC Park, Kumasi, Ghana",,,Kumasi,Ghana,,,,,,,,,Private Healthcare facility at Kumasi Amanfrom,,,,[],[],"['Destiny Hospital is a private healthcare facility located at CPC Park, Kumasi Amanfrom, Kumasi, Ghana'
 'Phone: +233 55 199 1676' 'Email: destinyhospitalz@gmail.com']",,CSV Seed
Dexter Medical Centre,['+233206476647'],dextermedicalcentre@yahoo.com,['dextermedicalcentre.com'],,,,,,,,Nkwabeng North,,,Sunyani,Ghana,,,,,,,,,We provide world-class Primary and Specialist healthcare in the context of the Family n the Community,,,,[],[],"['Provides world-class primary and specialist healthcare services'
 'Located in Nkwabeng North, Sunyani, Ghana'
 'Offers primary and specialist healthcare within the family and community context'
 'Phone number +233 20 647 6647' 'Email dextermedicalcentre@yahoo.com'
 'Website dextermedicalcentre.com' 'Open now on Facebook page']",,CSV Seed
Divine Sanitas Medical Center,['+233244760710'],divinesanitasmedicalcentre@gmail.com,['dgigh.org'],,,,,,,,,,,Kasoa,Central Region,,,,,,,,,"Divine Sanitas Medical Center, is a well equipped diagnostic and treatment Clinic located at Kasoa by the main overhead Bridge in the Central Region of Ghana.",,,,[],[],"['Divine Sanitas Medical Center is a diagnostic and treatment clinic located at Kasoa by the main overhead Bridge in the Central Region of Ghana'
 'Always open']",,CSV Seed
Divine Smile Dental Care,['+233503411225'],dsmiledcare@gmail.com,[],,,,,,,,KNUST-EJISU HIGHWAY,,,Ejisu,Ghana,,,,,,,,,A smile speaks a thousand words. A patient-centered practice with welcoming staff and a serene environment to cater for all your dental needs. Located on the KNUST-EJISU HIGHWAY.,,,,"['Offers comprehensive dental examinations'
 'Provides teeth cleaning services']",[],"['Located on the KNUST-EJISU Highway, Ejisu, Ghana'
 'Describes itself as a patient-centered dental practice with welcoming staff and a serene environment'
 'Currently closed' 'Phone: +233 50 341 1225'
 'Email: dsmiledcare@gmail.com']",,CSV Seed
Divine Trinity Health Center,['+233599057088'],simonadjei516@gmail.com,[],,,,,,,,SEFWI BEKWAI locust attaa kwame house opposite,,,Sefwi Bekwai,Ghana,,,,,,,,,,,,,[],['Has a special machine to detect any problems'],"['Located in Sefwi Bekwai, Ghana' 'Currently closed']",,CSV Seed
Doctore Opoku Hospital (Kumasi road),[],,[],,,,,,,,,,,Techiman,Ghana,,,,,,,,,,,,,[],[],[],,CSV Seed
"Doctors in Service Clinic - Abura, Cape Coast, Ghana",['+233579290027'],info@doctorsinservice.com,['doctorsinservice.com'],,,,,,,,Abura,,,Cape Coast,Ghana,,,,,,,,,We provide Excellent Healthcare at a Lesser Cost.,,,,[],[],"['Located in Abura, Cape Coast, Ghana.' 'Phone number +233 57 929 0027.'
 'Email address info@doctorsinservice.com.'
 'Website doctorsinservice.com.'
 'Provides excellent healthcare at a lesser cost.']",,CSV Seed
Dokrochiwa Health Centre,[],,[],,,,,,,,,,,Oyarifa,Ghana,,,,,,,,,,,,,[],[],"['Dokrochiwa Health Centre is a hospital located in Oyarifa, Ghana.'
 'Dokrochiwa Health Centre operates 24/7.'
 ""Dokrochiwa Health Centre has a Facebook page labeled 'Unofficial Page'.""
 'Facebook page for Dokrochiwa Health Centre was created on June 28, 2019.']",,CSV Seed
Doku Memorial Clinic,[],,[],,,,,,,,,,,Madina,Greater Accra,,,,,,,,,"Doku Memorial Clinic is a private hospital in Greater Accra, Madina Ghana.",,,,[],[],"['Doku Memorial Clinic is a private hospital located in Greater Accra, Madina, Ghana']",,CSV Seed
Dominase Adventist Hospital,['+233501386990'],[email protected],[],1989.0,,,,,,,P.O. Box 272,,,Bekwai,Ashanti,,,,,,,,,"Organizational Unit: Ashanti South Ghana Conference. Telecommunications: Telephone: +233501386990. E-mail: [email protected]. Address: P.O. Box 272; Bekwai-Ashanti; Ghana. Number of Patient Beds: 60. Board of Management: Augustine Adu-Gyamfi, Chair; Charles Kwame Adofo, Secretary. Administration: President, Augustine Adu-Gyamfi; Vice President, Thomas Asamoah; Senior Medical Staff, Charles Kwame Adofo; Chief of Staff, Victor Owusu. System Codes: EntityID: 13524; OrgMastID: A7OBDO.",,,60.0,[],[],"['Established 1989' 'Has 60 patient beds'
 'Located in Bekwai-Ashanti, Ghana'
 'Organizational Unit: Ashanti South Ghana Conference'
 'Telephone: 233 (50) 138-6990'
 'Address: P.O. Box 272, Bekwai-Ashanti, Ghana'
 'Board of Management: Augustine Adu-Gyamfi (Chair); Charles Kwame Adofo (Secretary)'
 'Administration: President Augustine Adu-Gyamfi; Vice President Thomas Asamoah; Senior Medical Staff Charles Kwame Adofo; Chief of Staff Victor Owusu'
 'System Codes: EntityID 13524; OrgMastID A7OBDO']",,CSV Seed
DomLey Herbal Center,['+233547931008' '+233277068045'],domleyherbalcenter@gmail.com,[],,,,,,,,Top Hill Street,,,Asamankese,Ghana,,,,,,,,,We are a herbal center and we use fresh and authentic herbs in the curing of various diseases.,,,,[],[],"['Located at Top Hill Street, Asamankese, Ghana' 'Phone +233 54 793 1008'
 'Phone 0277068045' 'Email domleyherbalcenter@gmail.com'
 'Uses fresh and authentic herbs in curing various diseases'
 'Advertises herbal cures for childlessness, hernia, fibroid and asthma'
 'Has 931 likes and 935 followers on Facebook'
 'Status indicates Closed now']",,CSV Seed
Dompim Health Centre,[],,[],,,,,,,,,,,Dompim,Western,,,,,,,,,"Dompim Health Centre is a government health centre in Western, Dompim Ghana.",,,,[],[],[],,CSV Seed
Donkorkrom Presby Hospital,[],,[],,,,,,,,,,,Odonkawkrom,Ghana,,,,,,,,,"Hospital located in Odonkawkrom, Ghana.",,,,[],[],"['Located in Odonkawkrom, Ghana' 'Open 24 hours a day'
 'Facebook page categorized as Hospital'
 'Page described as an unofficial page for the hospital'
 'Facebook page created on 21 April 2019'
 '817 people checked in here on Facebook' '12 people like this'
 '12 people follow this']",,CSV Seed
Dr. Awuah Sankofa Natural Health Clinic,['+233245442233'],info@drawuahsankofahealthclinic.com,['drawuahsankofahealthclinic.com'],,,,,,,,"Palm Street, Nii Boi Town, behind Dome-Pokuase station",,,Accra,Ghana,,,,,,,,,A herbal clinic with modern diagnostic centre treats and manages all kinds of diseases,,,,[],[],"['Herbal clinic with modern diagnostic centre' 'Online booking available'
 'Location: Palm Street, Nii Boi Town, behind Dome-Pokuase station, Accra, Ghana'
 'Phone: +233 24 544 2233' 'Email: info@drawuahsankofahealthclinic.com'
 'Website: https://www.drawuahsankofahealthclinic.com'
 'Treats and manages all kinds of diseases']",,CSV Seed
Dreams Fertility And Alt Clinic,['+233597225388' '+233597225389' '+233599555220'],info@dreamsfertilityclinic.com,[],,,,,,,,Tema Community 22,,,Tema Community 22,Greater Accra Region,,,,,,,,,"Dreams Fertility & Alt. Clinic is a fertility clinic based in Tema Community 22, Greater Accra Region, Ghana, led by a holistic fertility practitioner with over 20 years of experience. It offers fertility treatments, herbal medicine, reflexology therapy, and nutrition related services.",,,,"['Provides male infertility treatment'
 'Provides female infertility treatment'
 'Provides fibroid and cyst treatment'
 'Provides treatment for irregular menstrual cycle']",[],"['Located in Tema Community 22, Greater Accra Region, Ghana'
 'Working hours: Mon–Sat 8 am–5 pm; Sunday closed'
 'Phone numbers: +233 597225388; +233 597225389; +233 599555220'
 'Email: info@dreamsfertilityclinic.com'
 'Clinic is led by a holistic fertility practitioner with over 20 years of infertility treatment experience, previously practicing in the United Kingdom and now based in Ghana'
 'Offers holistic fertility services including herbal medicine, maternal reflexology, and nutrition'
 'Clinic operates from an old townhouse in Tema Community 22'
 'Uses supplements and drugs mainly imported from the UK and approved by the Ghana FDA']",,CSV Seed
Dreams Fertility Clinic,['+233597225388'],info@dreamsfertilityclinic.com,['dreamsfertilityclinic.com'],,,,,,,,A1438 Knight Avenue,,,Tema,Ghana,,,,,,,,,Dreams Fertility Clinic is a clinic run by an experienced fertility doctor with over 20 years of experience.,,,,[],[],"['Dreams Fertility Clinic specializes in fertility care.'
 'Located at 1438 Knight Avenue, Tema, Ghana.'
 'Led by a fertility doctor with over 20 years of experience.']",,CSV Seed
Drifney Dental Services,['+233244229950' '+233243494981' '+233279730918'],octybedwei@outlook.com,['drifneyconsult.com'],,,,,,,,SCC - Weija,,,Weija,Accra,,,,,,,,,Affordable Laser teeth whitening... Call to book your sessions,,,,['Offers laser teeth whitening services'],[],"['Located in Weija, Accra, Ghana']",,CSV Seed
Dr. Martin Curry Dentistry,['+233209581002'],dmcdaccra@gmail.com,[],,,,,,,,Atlantic Mall - Atomic Road,,,Accra,Ghana,,,,,,,,,"Digital X-ray (OPG, Periapical, Bitewing) Scaling & Polishing Comestic Surgery",,,,"['Digital X-ray imaging with OPG, periapical, and bitewing views'
 'Scaling and Polishing' 'Cosmetic Surgery']","['Digital X-ray system capable of OPG, periapical, and bitewing imaging']","['Dental clinic located at Atlantic Mall, Atomic Road, Accra, Ghana'
 'Contact phone +233 20 958 1002' 'Email dmcdaccra@gmail.com'
 'Currently closed']",,CSV Seed
Dr. Power Herbal Clinic TV,['+233208478866'],drpowerherbal@gmail.com,[],,,,,,,,,,,Accra,Ghana,,,,,,,,,"We heal & uproot every sicknesses Spiritually & physically Stroke, Hepatitis B Fibroid, Asthma, Diab",,,,[],[],"['Based in Accra, Ghana'
 'Provides spiritual and physical healing for illnesses'
 'Treats stroke, hepatitis B, fibroid, asthma, and diabetes'
 'Phone: +233 20 847 8866' 'Email: drpowerherbal@gmail.com']",,CSV Seed
Dungu,['+233200000000'],,[],,,,,,,,,,,Tamale,Ghana,,,,,,,,,Dungu is a Place where Health professionals are trained.,,,,[],[],"['Dungu operates as a health professional training facility in Tamale, Ghana'
 'Open 24/7 (Always open)' 'Has contact phone number +233 20 000 0000'
 'Has 39 followers on Facebook']",,CSV Seed
Dunkwa Municipal Hospital,['+233547127772'],,[],,,,,,,,Box 581,,,Dunkwa-On-Offin,Ghana,,,,,,,,,,,,,[],[],"['Open 24/7' 'Address: Box 581 Dunkwa-On-Offin Dunkwa, Ghana'
 'Phone: +233 54 712 7772' 'Coordinates: 5.963415145874, -1.7758494615555'
 'Facebook page created on 6 February 2014']",,CSV Seed
"Eastern View Skin Clinic, Berekum",['+233546271407'],easternviewgh@gmail.com,['eastern-view-skin-clinic.business.site'],,,,,,,,"Pentecost Central, J.M.T",,,Berekum,Ghana,,,,,,,,,"Specialist in scar removal, stretch marks, Keloid, tattoo removal, dark spot, facials and hyperpigmentation. Our core mission involves ranges of practices that support skin integrity, enhancing it's appearance and relieve skin condition.",,,,"['Scar removal' 'Stretch mark treatment' 'Keloid treatment'
 'Tattoo removal' 'Dark spot treatment' 'Facials'
 'Hyperpigmentation treatment' 'Melasma treatment' 'Acne treatment']",[],"['Based in Berekum, Ghana'
 'Location: Berekum, Pentecost Central, J.M.T, Berekum, Ghana'
 'Specializes in scar removal, stretch marks, keloids, tattoo removal, dark spots, facials and hyperpigmentation'
 'Offers free facial treatments for hyperpigmentation, melasma, dark spots and acne'
 'Slots can be booked via direct message' 'Phone: +233 54 627 1407'
 'Email: easternviewgh@gmail.com']",,CSV Seed
Eastside Life Hospital,['+233382097737'],,[],,,,,,,,"Tamale - Navrongo Road, near SSNIT Traffic Light",,,Bolgatanga,Upper East Region,,,,,,,,,Ophthalmologist; Anesthesiology; 4D Ultrasound; X-Ray; ECG; General Practitioner (GP); Cardiotocography (CTG); CT Scan,,,,"['Performs X-ray imaging' 'Performs CT scans' 'Performs 4D ultrasound'
 'Performs electrocardiogram (ECG)' 'Performs cardiotocography (CTG)']",[],"['Pediatrics department' 'Internal Medicine department'
 'Radiology department with X-Ray and CT capabilities'
 'Sonography (Ultrasound) department' 'Anesthesiology services'
 'General Practitioner (GP) services' 'Ophthalmology services']",,CSV Seed
Eden Specialist Hospital,[],,[],,,,,,,,,,,North Kaneshie,Greater Accra,,,,,,,,,"Eden Specialist Hospital is a private hospital in Greater Accra, North Kaneshie Ghana.",,,,[],[],"['Private hospital located in Greater Accra, North Kaneshie, Ghana']",,CSV Seed
